Cable de terre 25m;65;;;;;
Cable electrique 5G10 - 5m;10;;;;;
Cable electrique 5G16 - 50m;70;;;;;
Cable electrique 5G6 - 10m;10;;;;;
Cable electrique 5G6 - 20m;20;;;;;
Cable jack-RCA - 3m;4;;;;;
Cable mini-jack RCA;6.56;;;;;
Cable mini-jack stéréo -> 2x jack mono;3;;;;;
Cable mini-jack/RCA 3m;6.53;;;;;
"Cable prolongateur powercon - 3G1.5 - 2m - Bague rouge - Marquage ""Th95"" sous gaine thermo sur prise mâle";19.8;;;;;
Cable souple 6G-SDI 20m;150;;;;;
Cable tetra 32A, 20m;12;;;;;
Cable électrique 32A Tetra - 5G6 - 10m;10;;;;;
Cable électrique 3G1.5;1.12;;;;;
Cable électrique 63A Tetra - 5G16 - 70m;140;;;;;
Cable électrique PC16 3G2.5 - 10m;5;;;;;
Cable électrique PC16 3G2.5 - 1m;0.5;;;;;
Cable électrique PC16 3G2.5 - 20m;10;;;;;
Cable électrique PC16 3G2.5 - 3m;1.5;;;;;
Cable électrique PC16 3G2.5 - 5m;2.5;;;;;
Cable électrique Tetra - 5G6mm2 - 20m;20;;;;;
Cable électrique Tetra - 5G6mm2 - 50m;50;;;;;
Cables HDMI 50cm;6;;;;;
Cables haut-parleur 4 points 2x2.5mm2;1.62;;;;;
Cables haut-parleur 4 points 4x2.5mm2;3.04;;;;;
Cables haut-parleur 4 points 4x4mm2;5.36;;;;;
Cadre 60x60;10;;;;;
Cadreur journée;350;;;;;
Cadreurs;300;;;;;
Caisse XLR (10x10m + 10x5m);10;;;;;
Camco - Rack 2x DX48 2x2800 @4ohm  + processing;180;;;;;
Camco DX24;40;;;;;
Camco Tecton 32.4;750;;;;;
Camera JVC Full HD;150;;;;;
Camera JVC GY HD251 avec pieds;200;;;;;
Camion 14m3 - Cergy - Paris - Niort - 3 jours - Aller/Retour;500;;;;;
Camion 14m3 - jour;100;;;;;
Camion 3 jours - 14m3;300;;;;;
Camion avec plateau 12m x 2,5m avec chauffeur;800;;;;;
Camion régie;100;;;;;
Camion supplémentaire vendredi - 14m3;100;;;;;
Caméra Full HD SDI;200;;;;;
Caméra plateau JVC;200;;;;;
Canon - Objectif EF 18-55mm;350;;;;;
Canon 5D Mark III;150;;;;;
Canon XF108;2600;;;;;
Capsule B58;10;;;;;
Capsule Shure Béta 58 pour émetteur main UR2;10;;;;;
Captation + Streaming conseil municipal du 3 juillet;2500;;;;;
Captation vidéo, streaming live, enregistrement son et vidéo;2500;;;;;
Carte Madi Cat5 pour rack local Vi;461.16;;;;;
Carte SD 32Gb;110;;;;;
Carte mémoire Sandisk SD XC Exrteme Pro - 128Go V30;56.68;;;;;
Carte mémoire Sandisk SD XC Extreme Pro - 64Go;30.89;;;;;
Carte son externe - Focusrite 18i20 2nd Gen;35;;;;;
Carte son externe USB - Focusrite Scarlett 2i2 3rd Gen (2 in 2 out);140.77;;;;;
Centrale Intercom;50;;;;;
Centrale intercom filaire;52;;;;;
Chaise noir sans accoudoir;4;;;;;
Changement connecteur SDI boitier mural;20;;;;;
Changeur de couleur DMX Pro400;35;;;;;
Changeur de couleur Martin Pro400;25;;;;;
Chariot 2 bonbonnes CO2 - 10kg avec détendeur;20;;;;;
Chariot praticable;316;;;;;
Chauffeur Fourgon / Machino;26.41;;;;;
Chimera - Boite à lumière continue + support boite à lumière douille E40;40;;;;;
Chimera - Boule chinoise 1kw + lampe + accessoires;35;;;;;
Christie - Vidéoprojecteur LWU421 4200 lumens 1080p;3556.27;;;;;
Clay Paky Lyre Alpha Wash 700;110;;;;;
